pop,family,garden,ssp,year,julian,long,lat,elev,mat,map,gsp,mtcm,mmin,mtwm,mmax,sday,fday,ffp,dd5,gsdd5,d100,dd0,mmindd0,smrpb,smrsprpb,sprp,smrp,winp
CAV2,CAV-2-7,Eph,v,y11,264,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-8,Eph,v,y11,264,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-9,Eph,v,y11,268,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-1,Maj,v,y11,254,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-10,Maj,v,y11,268,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-2,Maj,v,y11,262,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-3,Maj,v,y11,254,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-4,Maj,v,y11,262,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-5,Maj,v,y11,249,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-6,Maj,v,y11,268,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-7,Maj,v,y11,254,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-8,Maj,v,y11,262,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-9,Maj,v,y11,254,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-1,Orch,v,y11,265,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-10,Orch,v,y11,269,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-2,Orch,v,y11,272,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-4,Orch,v,y11,279,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-5,Orch,v,y11,265,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-7,Orch,v,y11,273,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-9,Orch,v,y11,261,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV3,CAV-3-4,Orch,v,y11,328,-116.1864,32.6458,827,16.2,230,56,8.7,1.2,26.1,36.4,99,320,226,4129,3381,25,0,184,1.55,1.15,20,23,121
CAV3,CAV-3-6,Orch,v,y11,339,-116.1864,32.6458,827,16.2,230,56,8.7,1.2,26.1,36.4,99,320,226,4129,3381,25,0,184,1.55,1.15,20,23,121
CAV4,CAV-4-4,Orch,v,y11,325,-118.8724,34.8251,1120,13.7,337,54,6.2,0.9,23.5,31.2,110,321,225,3279,2781,43,7,202,0.35,0.13,38,5,212
CAW3,CAW-3-1,Eph,v,y11,264,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-1,Eph,v,y11,254,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-10,Eph,v,y11,263,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-3,Eph,v,y11,251,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-5,Eph,v,y11,256,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-6,Eph,v,y11,256,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-7,Eph,v,y11,267,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-9,Eph,v,y11,258,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-1,Maj,v,y11,253,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
